adrienctx, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;11.0, 1.0;5.0;8.0, 1.0;5.0;10.0, 1.0;5.0;10.0, 1.0;5.0;9.0, 1.0;5.0;9.0, 1.0;5.0;8.0, 1.0;5.0;9.0
asd592, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0
combination, -100.0;-1000.0;0.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0
Jamie_Hutchison, 1.0;5.0;704.0, 0.0;0.0;2000.0, 1.0;5.0;703.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 1.0;5.0;704.0, 1.0;5.0;703.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 1.0;5.0;703.0
MaastCTS2, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0
NovelTS, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0
Number27, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0
RegyN, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0
UrbanSk, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 1.0;5.0;38.0
YOLOBOT, 0.0;0.0;2000.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0, -100.0;-1000.0;0.0, 1.0;5.0;8.0, 1.0;5.0;8.0, 1.0;5.0;8.0
